"x","y"
-0.4401978,39.5144894
-0.4871785,39.4706528
0.606433,40.7530017
-1.1493338,38.0382105
-1.1492419,38.0383869
-0.3545233,39.4367761
-0.5596728,39.4791762
-0.4515063,39.5429922
-0.7892637,38.4765091
-0.4895912,39.8515333
-0.4888462,39.8484044
-0.6863993,37.9921154
-0.3913101,39.4876791
-0.0477824,38.6022138
-0.4521642,39.355487
-0.3463542,39.4997382
-0.4879312,38.3469332
0.0217836,38.8177193
-0.447314,39.5014145
-1.1315502,37.9893995
-0.0964735,38.9306339
-0.1168462,38.9215122
-0.4417591,39.5292356
-0.8497535,38.1030417
-0.2171406,39.6792294
-0.4606289,39.4650259
-0.3705056,39.4641969
-0.2533677,38.9343466
-1.1287366,37.9695926
-1.1284865,37.9815792
-1.1305705,37.9930465
-1.1302574,37.9830205
-1.4335089,39.5289113
-0.4606131,39.4567212
-1.2108652,39.5726146
-0.7360219,37.9278906
-0.772094,38.4808078
-0.78348,38.4782934
-0.1788007,38.9699911
-0.1606713,38.9958051
-0.162159,38.9892658
-0.1688875,38.9687068
-0.5922287,39.6331792
-0.4109666,39.5321942
-0.0821658,39.8923082
-0.1161333,38.5363129
0.0554584,38.6439819
0.0873045,38.6647083
0.0495218,38.7151182
0.3014238,40.3553698
-0.7766502,38.6319322
0.5307483,40.5523733
0.4494253,40.5960241
0.4921699,40.7176088
0.5791896,40.7123813
0.5940079,40.6173615
-0.4916198,39.4005138
-0.493119,39.4006693
-0.9383093,38.08892
-0.9488322,38.079671
-0.9384421,38.0944877
0.0244924,38.8181858
0.0232459,38.8172785
0.0581843,38.717031
-0.5087134,38.3828886
-0.5111187,38.3811502
-0.5170422,38.3846111
-0.5262813,38.3843039
-0.7404241,37.9108242
-0.1032992,38.5346695
-0.1292757,38.5386293
-0.7123342,38.2825949
-0.4911698,39.4008236
-0.4929922,39.4005563
-0.7391042,40.1142294
0.4280489,40.412148
0.0952052,38.8393892
0.0928393,38.8382399
0.0977057,38.8393853
-0.5601402,38.1953555
-0.7903972,38.2344323
0.022202,38.8168984
-0.2662548,39.6728522
-1.1244813,37.997079
-1.1293099,37.981946
0.0201735,38.8174571
0.0344643,38.7934335
-1.5126499,37.8556091
0.1143917,38.8456214
0.1144753,38.8455599
0.0952054,38.8394194
0.0959556,38.8488637
-0.2538952,39.8903394
0.0464465,40.6037712
0.0462815,40.6034138
0.1726826,40.4159977
-0.2801125,40.1355409
-0.2910066,40.2936789
-0.1880242,39.7829646
-0.1401863,40.3778442
0.2251996,40.3059141
0.0395807,40.1539882
0.4032688,40.3586203
0.1200406,38.834806
-0.1076503,38.8434558
-0.0566916,38.5987353
0.0178427,38.8186765
0.0184094,38.8187255
-0.2904398,40.2936903
0.1067185,38.8439216
-1.1274169,37.9690714
-1.1632919,37.9355155
-1.1422552,37.9936931
-1.1383086,37.9971016
0.104868,38.8355696
0.0238353,38.8183412
-0.1110847,38.8438493
0.0574777,38.8584777
-0.0438583,38.6303171
-0.1718798,38.5334902
-0.1718382,38.5334881
-0.1719698,38.533362
0.1779146,38.794976
0.6064219,40.7531415
0.0934214,38.8525127
0.0205513,38.8172861
0.1723883,38.7879042
-0.3247316,39.4657826
-0.1993548,38.6757961
0.0144789,38.8300585
0.1026098,38.8342001
0.1090525,38.8370447
0.1219017,38.8384948
-0.5752316,39.5431327
